Job Title,Job Role,Job Topics,Duration,Type,Company,Stipend,Job Type,Last Date,Job Description
Astronomy Intern,Astronomy,"Social Media Marketing, Cloud Computing, Data Analysis",2 Months,Long Term,Lewis Inc,0,Onsite,05-09-2025,"As a Astronomy Intern, you will work on projects involving Social Media Marketing, Cloud Computing, Data Analysis. You will engage in practical assignments, collaborate with mentors and peers, and gain exposure to solving real-world challenges in these domains. This internship aims to build your expertise as a Astronomy, while broadening your knowledge across multiple related areas."
CleanTech Intern,CleanTech,"Big Data, Cloud Computing, Testing",1 Month,Long Term,Brock-Cruz,3000/month,Hybrid,05-09-2025,"As a CleanTech Intern, you will work on projects involving Big Data, Cloud Computing, Testing. You will engage in practical assignments, collaborate with mentors and peers, and gain exposure to solving real-world challenges in these domains. This internship aims to build your expertise as a CleanTech, while broadening your knowledge across multiple related areas."
Architecture Intern,Architecture,"Wireframing, Customer Engagement, SEM",3 Months,Short Term,Mendoza LLC,2000/month,Onsite,06-09-2025,"As a Architecture Intern, you will work on projects involving Wireframing, Customer Engagement, SEM. You will engage in practical assignments, collaborate with mentors and peers, and gain exposure to solving real-world challenges in these domains. This internship aims to build your expertise as a Architecture, while broadening your knowledge across multiple related areas."
Library Intern,Library Management,"Cataloging, Digital Archiving, Information Systems",2 Months,Short Term,Baxter-Bruce,0,Hybrid,06-09-2025,"Support library operations by managing catalog systems, assisting with digital archives, and improving information accessibility for students and researchers."
IT Support Intern,IT Support,"Frontend Development, Risk Management, Social Media Marketing",2 Months,Long Term,"Murphy, Hamilton and Rodriguez",0,Onsite,07-09-2025,"As a IT Support Intern, you will work on projects involving Frontend Development, Risk Management, Social Media Marketing. You will engage in practical assignments, collaborate with mentors and peers, and gain exposure to solving real-world challenges in these domains. This internship aims to build your expertise as a IT Support, while broadening your knowledge across multiple related areas."
Digital Marketing Intern,Digital Marketing,"Deep Learning, SEM, Smart Contracts",6 Months,Short Term,"Abbott, Perry and Burns",5000/month,Hybrid,08-09-2025,"As a Digital Marketing Intern, you will work on projects involving Deep Learning, SEM, Smart Contracts. You will engage in practical assignments, collaborate with mentors and peers, and gain exposure to solving real-world challenges in these domains. This internship aims to build your expertise as a Digital Marketing, while broadening your knowledge across multiple related areas."
Finance Intern,Finance,"Kubernetes, Frontend Development, Customer Engagement",3 Months,Short Term,Ellis-Gillespie,2000/month,Hybrid,08-09-2025,"As a Finance Intern, you will work on projects involving Kubernetes, Frontend Development, Customer Engagement. You will engage in practical assignments, collaborate with mentors and peers, and gain exposure to solving real-world challenges in these domains. This internship aims to build your expertise as a Finance, while broadening your knowledge across multiple related areas."
Neuroscience Intern,Neuroscience,"Deep Learning, Copywriting, JavaScript Frameworks",6 Months,Long Term,"Richards, Ramsey and Garcia",2000/month,Remote,08-09-2025,"As a Neuroscience Intern, you will work on projects involving Deep Learning, Copywriting, JavaScript Frameworks. You will engage in practical assignments, collaborate with mentors and peers, and gain exposure to solving real-world challenges in these domains. This internship aims to build your expertise as a Neuroscience, while broadening your knowledge across multiple related areas."
Animation Intern,Animation,"System Design, Copywriting, Machine Learning",6 Months,Short Term,Robinson Ltd,0,Remote,09-09-2025,"As a Animation Intern, you will work on projects involving System Design, Copywriting, Machine Learning. You will engage in practical assignments, collaborate with mentors and peers, and gain exposure to solving real-world challenges in these domains. This internship aims to build your expertise as a Animation, while broadening your knowledge across multiple related areas."
History Intern,History,"Deep Learning, Financial Modelling, Natural Language Processing",6 Months,Long Term,Young PLC,5000/month,Remote,09-09-2025,"As a History Intern, you will work on projects involving Deep Learning, Financial Modelling, Natural Language Processing. You will engage in practical assignments, collaborate with mentors and peers, and gain exposure to solving real-world challenges in these domains. This internship aims to build your expertise as a History, while broadening your knowledge across multiple related areas."
Linguistics Intern,Linguistics,"Agile Methodologies, API Development, SEM",3 Months,Long Term,Hogan and Sons,10000/month,Remote,09-09-2025,"As a Linguistics Intern, you will work on projects involving Agile Methodologies, API Development, SEM. You will engage in practical assignments, collaborate with mentors and peers, and gain exposure to solving real-world challenges in these domains. This internship aims to build your expertise as a Linguistics, while broadening your knowledge across multiple related areas."
Medical Intern,Clinical Assistance,"Patient Care, Diagnostics, Medical Research",3 Months,Long Term,"Brown, Lam and Cobb",3000/month,Hybrid,09-09-2025,"Work alongside medical professionals to assist in diagnostics, patient care, and clinical research in various departments."
Sales Intern,Sales,"Frontend Development, Big Data, Network Security",3 Months,Long Term,Alvarez-Perez,0,Remote,09-09-2025,"As a Sales Intern, you will work on projects involving Frontend Development, Big Data, Network Security. You will engage in practical assignments, collaborate with mentors and peers, and gain exposure to solving real-world challenges in these domains. This internship aims to build your expertise as a Sales, while broadening your knowledge across multiple related areas."
Civil Engineering Intern,Civil Engineering,"SEM, Financial Modelling, UI Prototyping",2 Months,Short Term,Hogan LLC,0,Onsite,10-09-2025,"As a Civil Engineering Intern, you will work on projects involving SEM, Financial Modelling, UI Prototyping. You will engage in practical assignments, collaborate with mentors and peers, and gain exposure to solving real-world challenges in these domains. This internship aims to build your expertise as a Civil Engineering, while broadening your knowledge across multiple related areas."
