Job Title,Job Topics,Duration,Type,Company,Stipend,Job Type,Last Date,Job Description,Job Role
Health Services Intern,"Health Education, Outreach Programs",3 Months,Long Term,HealthServ,$900,Hybrid,01-08-2025,"As a Health Services Intern, you will gain hands-on experience in Health Education, Outreach Programs. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Healthcare
Precision Medicine Intern,"Genetic Profiling, Personalized Treatments",4 Months,Research,PrecisionMed,$9000,Part Time,05-08-2025,"As a Precision Medicine Intern, you will gain hands-on experience in Genetic Profiling, Personalized Treatments. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Precision Medicine
Bioinspired Design Intern,"Nature-Inspired Innovation, Biomimetic Materials",3 Months,Summer,BioDesign,$12500,Hybrid,11-08-2025,"As a Bioinspired Design Intern, you will gain hands-on experience in Nature-Inspired Innovation, Biomimetic Materials. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Bioinspired Design
Bioplastic Recycling Intern,"Polymer Degradation, Recycling Processes",4 Months,Research,BioRecycle,$13500,Part Time,12-08-2025,"As a Bioplastic Recycling Intern, you will gain hands-on experience in Polymer Degradation, Recycling Processes. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Bioplastic Recycling
Smart Agriculture Intern,"Automated Farming, Sensor Networks",2 Months,Research,AgriSmart,$13000,Part Time,13-08-2025,"As a Smart Agriculture Intern, you will gain hands-on experience in Automated Farming, Sensor Networks. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Smart Agriculture
Bioacoustic Therapy Intern,"Sound Healing, Frequency Analysis",4 Months,Research,AcoustoTherapy,$13500,Part Time,17-08-2025,"As a Bioacoustic Therapy Intern, you will gain hands-on experience in Sound Healing, Frequency Analysis. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Bioacoustic Therapy
Quantum Robotics Intern,"Quantum Control Systems, Autonomous Navigation",5 Months,Summer,RoboQuantum,$950,Hybrid,19-08-2025,"As a Quantum Robotics Intern, you will gain hands-on experience in Quantum Control Systems, Autonomous Navigation. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Quantum Robotics
Renewable Energy Engineering Intern,"Turbine Design, Energy Storage Systems",5 Months,Semester,RenewTech,$1400,Hybrid,20-08-2025,"As a Renewable Energy Engineering Intern, you will gain hands-on experience in Turbine Design, Energy Storage Systems. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Renewable Energy
Virtual Fashion Retail Intern,"Digital Showrooms, Customer Avatars",2 Months,Research,FashionVirtual,$12500,Part Time,21-08-2025,"As a Virtual Fashion Retail Intern, you will gain hands-on experience in Digital Showrooms, Customer Avatars. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Virtual Fashion Retail
Construction Materials Intern,"Concrete Mixing, Reinforcement Placement",2 Months,Summer,ConstMat,$8000,Hybrid,30-08-2025,"As a Construction Materials Intern, you will gain hands-on experience in Concrete Mixing, Reinforcement Placement. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Cement & Building Materials
UX Design Intern,"Wireframing, Usability Testing",3 Months,Semester,UX Studio,$1400,Hybrid,01-09-2025,"As a UX Design Intern, you will gain hands-on experience in Wireframing, Usability Testing. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",User Experience
Virtual Archaeology Intern,"Digital Excavations, Artifact Modeling",2 Months,Summer,VirtualDig,$12500,Part Time,01-09-2025,"As a Virtual Archaeology Intern, you will gain hands-on experience in Digital Excavations, Artifact Modeling. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Virtual Archaeology
Exosuit Engineering Intern,"Robotic Exoskeletons, Mobility Testing",4 Months,Summer,ExoTech,$1100,Part Time,02-09-2025,"As an Exosuit Engineering Intern, you will gain hands-on experience in Robotic Exoskeletons, Mobility Testing. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Exosuit Technology
Eco-Microbiology Intern,"Microbial Ecology, Soil Health",2 Months,Summer,MicroEco,$15500,Part Time,05-09-2025,"As an Eco-Microbiology Intern, you will gain hands-on experience in Microbial Ecology, Soil Health. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Eco-Microbiology
Market Research Intern,"Consumer Surveys, Competitor Analysis",3 Months,Research,MarketScope,$15000,Hybrid,06-09-2025,"As a Market Research Intern, you will gain hands-on experience in Consumer Surveys, Competitor Analysis. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Market Research
Chemistry Research Intern,"Organic Synthesis, Analytical Chemistry, Spectroscopy, Laboratory Techniques",3 Months,Research,Cosmos Collective,"$18,000",Hybrid,07-09-2025,"As a Chemistry Research Intern, you will gain hands-on experience in Organic Synthesis, Analytical Chemistry, Spectroscopy, Laboratory Techniques. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Chemistry Research
Law Enforcement Intern,"Corporate Law, Legal Research, IP Law",6 Months,Summer,Fossil & Forge,"$10,000",Hybrid,07-09-2025,"As a Law Enforcement Intern, you will gain hands-on experience in Corporate Law, Legal Research, IP Law. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Law Enforcement
CleanTech Intern,"Sustainable Development, Renewable Energy, Environmental Engineering, Carbon Footprint Analysis",2 Months,Converting,LexiCorp,"$10,000",Part Time,07-09-2025,"As a CleanTech Intern, you will gain hands-on experience in Sustainable Development, Renewable Energy, Environmental Engineering, Carbon Footprint Analysis. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",CleanTech
Graphic Design Intern,"Animation, Graphic Design, Photography",2 Months,Research,Quantum Quasar,"$18,000",Part Time,07-09-2025,"As a Graphic Design Intern, you will gain hands-on experience in Animation, Graphic Design, Photography. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Graphic Design
Esports Intern,"Project Planning, Communication, Teamwork",4 Months,Summer,Arion Analytics,"$15,000",Hybrid,08-09-2025,"As a Esports Intern, you will gain hands-on experience in Project Planning, Communication, Teamwork. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Esports
Education Intern,"STEM Education, Instructional Design, Pedagogy",2 Months,Converting,Equinox Enterprises,"$10,000",Hybrid,08-09-2025,"As a Education Intern, you will gain hands-on experience in STEM Education, Instructional Design, Pedagogy. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Education
History Intern,"Archaeology, Modern History, Ancient History",6 Months,Summer,KathaBook,"$12,000",Hybrid,08-09-2025,"As a History Intern, you will gain hands-on experience in Archaeology, Modern History, Ancient History. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",History
Eco-Sound Design Intern,"Sustainable Audio, Eco-Friendly Studios",3 Months,Long Term,SoundEco,$1150,Hybrid,08-09-2025,"As an Eco-Sound Design Intern, you will gain hands-on experience in Sustainable Audio, Eco-Friendly Studios. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Eco-Sound Design
PropTech Intern,"DeFi, Consensus Mechanisms, NFTs",2 Months,Summer,SphereGoo,"$8,000",Hybrid,08-09-2025,"As a PropTech Intern, you will gain hands-on experience in DeFi, Consensus Mechanisms, NFTs. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",PropTech
Linguistics Intern,"Pedagogy, STEM Education, Digital Content",2 Months,Summer,TechNova,"$20,000",Hybrid,08-09-2025,"As a Linguistics Intern, you will gain hands-on experience in Pedagogy, STEM Education, Digital Content. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Linguistics
Culinary Intern,"Menu Planning, Food Preparation, Catering, Kitchen Management, Sanitation",4 Months,Long Term,EcoLabs,"$20,000",Part Time,08-09-2025,"As a Culinary Intern, you will gain hands-on experience in Menu Planning, Food Preparation, Catering, Kitchen Management, Sanitation. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Culinary
Sound Engineering Intern,"Video Editing, Photography, Storyboarding",6 Months,Long Term,Ishtar Innovations,"$18,000",Part Time,08-09-2025,"As a Sound Engineering Intern, you will gain hands-on experience in Video Editing, Photography, Storyboarding. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Sound Engineering
Project Management Intern,"Hadoop, Spark, Predictive Modeling",2 Months,Long Term,Janus Corp,"$12,000",Part Time,08-09-2025,"As a Project Management Intern, you will gain hands-on experience in Hadoop, Spark, Predictive Modeling. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Project Management
Forensic Science Intern,"Evidence Collection, Trace Evidence Analysis, Questioned Documents",3 Months,Long Term,Maelstrom Media,"$10,000",Part Time,08-09-2025,"As a Forensic Science Intern, you will gain hands-on experience in Evidence Collection, Trace Evidence Analysis, Questioned Documents. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Forensic Science
Marketing Intern,"Content Strategy, Market Research, SEO",3 Months,Summer,Stardust Services,"$20,000",Part Time,08-09-2025,"As a Marketing Intern, you will gain hands-on experience in Content Strategy, Market Research, SEO. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Marketing
AR/VR Intern,"virtual reality, augmented reality, spatial computing, mixed reality",4 Months,Converting,Chimera Collective,"$15,000",Hybrid,09-09-2025,"As a AR/VR Intern, you will gain hands-on experience in virtual reality, augmented reality, spatial computing, mixed reality. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",AR/VR
Data Visualization Intern,"Generative AI, Deep Learning, Computer Vision",6 Months,Research,DataC,"$20,000",Hybrid,09-09-2025,"As a Data Visualization Intern, you will gain hands-on experience in Generative AI, Deep Learning, Computer Vision. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Data Visualization
Library Intern,"E-learning, STEM Education, Digital Content",2 Months,Converting,Epoch Solutions,"$6,000",Hybrid,09-09-2025,"As a Library Intern, you will gain hands-on experience in E-learning, STEM Education, Digital Content. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Library
Linguistics Intern,"STEM Education, Digital Content, E-learning",6 Months,Long Term,Equinox Enterprises,"$20,000",Hybrid,09-09-2025,"As a Linguistics Intern, you will gain hands-on experience in STEM Education, Digital Content, E-learning. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Linguistics
Event Management Intern,"Event Management, Performing Arts, Curation",6 Months,Research,Pegasus Productions,"$12,000",Hybrid,09-09-2025,"As a Event Management Intern, you will gain hands-on experience in Event Management, Performing Arts, Curation. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Event Management
