Job Title,Job Topics,Duration,Type,Company,Stipend,Job Type,Last Date,Job Description,Job Role,Location,Coordinates
Health Services Intern,"Health Education, Outreach Programs",3 Months,Long Term,HealthServ,900,Hybrid,01-08-2025,"As a Health Services Intern, you will gain hands-on experience in Health Education, Outreach Programs. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Healthcare,"Haldwani, Uttarakhand, India","29.2144809,79.5279012"
Precision Medicine Intern,"Genetic Profiling, Personalized Treatments",4 Months,Research,PrecisionMed,9000,Part Time,05-08-2025,"As a Precision Medicine Intern, you will gain hands-on experience in Genetic Profiling, Personalized Treatments. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Precision Medicine,"Salem, Tamil Nadu, India","11.6551982,78.1581771"
Bioinspired Design Intern,"Nature-Inspired Innovation, Biomimetic Materials",3 Months,Summer,BioDesign,12500,Hybrid,11-08-2025,"As a Bioinspired Design Intern, you will gain hands-on experience in Nature-Inspired Innovation, Biomimetic Materials. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Bioinspired Design,"Faridabad, Haryana, India","28.4031478,77.3105561"
Bioplastic Recycling Intern,"Polymer Degradation, Recycling Processes",4 Months,Research,BioRecycle,13500,Part Time,12-08-2025,"As a Bioplastic Recycling Intern, you will gain hands-on experience in Polymer Degradation, Recycling Processes. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Bioplastic Recycling,"Ahmedabad, Gujarat, India","23.0215374,72.5800568"
Smart Agriculture Intern,"Automated Farming, Sensor Networks",2 Months,Research,AgriSmart,13000,Part Time,13-08-2025,"As a Smart Agriculture Intern, you will gain hands-on experience in Automated Farming, Sensor Networks. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Smart Agriculture,"Vijayawada, Andhra Pradesh, India","16.5115306,80.6160469"
Bioacoustic Therapy Intern,"Sound Healing, Frequency Analysis",4 Months,Research,AcoustoTherapy,13500,Part Time,17-08-2025,"As a Bioacoustic Therapy Intern, you will gain hands-on experience in Sound Healing, Frequency Analysis. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Bioacoustic Therapy,"Durgapur, West Bengal, India","23.5350475,87.3380425"
Quantum Robotics Intern,"Quantum Control Systems, Autonomous Navigation",5 Months,Summer,RoboQuantum,950,Hybrid,19-08-2025,"As a Quantum Robotics Intern, you will gain hands-on experience in Quantum Control Systems, Autonomous Navigation. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Quantum Robotics,"Madurai, Tamil Nadu, India","9.9261153,78.1140983"
Renewable Energy Engineering Intern,"Turbine Design, Energy Storage Systems",5 Months,Semester,RenewTech,1400,Hybrid,20-08-2025,"As a Renewable Energy Engineering Intern, you will gain hands-on experience in Turbine Design, Energy Storage Systems. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Renewable Energy,"Jabalpur, Madhya Pradesh, India","23.1701522,79.9324505"
Virtual Fashion Retail Intern,"Digital Showrooms, Customer Avatars",2 Months,Research,FashionVirtual,12500,Part Time,21-08-2025,"As a Virtual Fashion Retail Intern, you will gain hands-on experience in Digital Showrooms, Customer Avatars. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Virtual Fashion Retail,"Kadapa, Andhra Pradesh, India","14.4752936,78.8216861"
Construction Materials Intern,"Concrete Mixing, Reinforcement Placement",2 Months,Summer,ConstMat,8000,Hybrid,30-08-2025,"As a Construction Materials Intern, you will gain hands-on experience in Concrete Mixing, Reinforcement Placement. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Cement & Building Materials,"Ahmednagar, Maharashtra, India","21.1727469,78.5651636"
