Job Title,Job Topics,Duration,Type,Company,Stipend,Job Type,Last Date,Job Description,Job Role
Accounting Intern,"Stock Research, Portfolio Management, Financial Modeling",3 Months,Converting,GreenWorld,"₹12,000",Full-time,03-10-2025,"As a Accounting Intern, you will gain hands-on experience in Stock Research, Portfolio Management, Financial Modeling. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Accounting
Accounting Intern,"Stock Research, Financial Modeling, Investment Analysis",2 Months,Converting,LexiCorp,"₹8,000",Full-time,13-09-2025,"As a Accounting Intern, you will gain hands-on experience in Stock Research, Financial Modeling, Investment Analysis. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Accounting
Accounting Intern,"Financial Modeling, Valuation, Portfolio Management",4 Months,Summer,InnoWorks,"₹18,000",Part-time,26-09-2025,"As a Accounting Intern, you will gain hands-on experience in Financial Modeling, Valuation, Portfolio Management. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Accounting
Aerospace Simulation Intern,"Aerodynamics, Flight Simulation, Avionics",3 Months,Summer,PixelTech,$1000,Part Time,05-06-2026,"As a Aerospace Simulation Intern, you will focus on Aerodynamics, Flight Simulation and Avionics, simulating flight systems or analyzing propulsion designs using MATLAB or CFD tools. You’ll collaborate with aerospace engineers on innovative projects.",Aerospace
Aerospace Simulation Intern,"Propulsion, Satellite Systems, Avionics",6 Months,Long Term,MindCare,$1400,Full Time,22-05-2026,"As a Aerospace Simulation Intern, you will focus on Propulsion, Satellite Systems and Avionics, simulating flight systems or analyzing propulsion designs using MATLAB or CFD tools. You’ll collaborate with aerospace engineers on innovative projects.",Aerospace
Aerospace Simulation Intern,"Aerodynamics, Propulsion, Flight Simulation",4 Months,Semester,InnoWorks,$800,Part Time,12-06-2026,"As a Aerospace Simulation Intern, you will focus on Aerodynamics, Propulsion and Flight Simulation, simulating flight systems or analyzing propulsion designs using MATLAB or CFD tools. You’ll collaborate with aerospace engineers on innovative projects.",Aerospace
AgriTech Intern,"MQTT, IoT Security, Sensor Networks",2 Months,Long-term,DataNest,"₹8,000",Part-time,17-09-2025,"As a AgriTech Intern, you will gain hands-on experience in MQTT, IoT Security, Sensor Networks. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",AgriTech
AgriTech Intern,"IoT Security, Edge Computing, Arduino",3 Months,Long-term,QuantumEdge,"₹10,000",Part-time,22-09-2025,"As a AgriTech Intern, you will gain hands-on experience in IoT Security, Edge Computing, Arduino. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",AgriTech
AgriTech Intern,"Arduino, MQTT, Sensor Networks",2 Months,Summer,MindCare,"₹6,000",Full-time,02-10-2025,"As a AgriTech Intern, you will gain hands-on experience in Arduino, MQTT, Sensor Networks. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",AgriTech
AgriTech Intern,"Arduino, Edge Computing, MQTT",4 Months,Converting,OpenAI Labs,"₹10,000",Part-time,01-10-2025,"As a AgriTech Intern, you will gain hands-on experience in Arduino, Edge Computing, MQTT. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",AgriTech
AgriTech Solutions Intern,"Soil Analysis, Crop Management, Precision Farming",6 Months,Long Term,GreenWorld,$1500,Full Time,10-09-2026,"As a AgriTech Solutions Intern, you will explore Soil Analysis, Crop Management and Precision Farming, optimizing farming practices or analyzing soil data using precision agriculture tools. You’ll collaborate with agronomists to improve crop yields.",Agriculture
AgriTech Solutions Intern,"Irrigation Systems, AgriTech, Crop Management",4 Months,Semester,BuildCon,$1200,Part Time,28-08-2026,"As a AgriTech Solutions Intern, you will explore Irrigation Systems, AgriTech and Crop Management, optimizing farming practices or analyzing soil data using precision agriculture tools. You’ll collaborate with agronomists to improve crop yields.",Agriculture
AgriTech Solutions Intern,"Soil Analysis, Precision Farming, AgriTech",2 Months,Summer,PixelTech,$1600,Full Time,15-09-2026,"As a AgriTech Solutions Intern, you will explore Soil Analysis, Precision Farming and AgriTech, optimizing farming practices or analyzing soil data using precision agriculture tools. You’ll collaborate with agronomists to improve crop yields.",Agriculture
